ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe
2562B,Mécanique industrielle,5,25,256,2562,2562B
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4663Z,"Comm de gros de machines pour l'extrac, la constr, le génie civil",5,46,466,4663,4663Z
1107B,Production de boissons rafraîchissantes,5,11,110,1107,1107B
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
6831Z,Agences immobilières,5,68,683,6831,6831Z
4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,467,4673,4673B
6920Z,Activités comptables,5,69,692,6920,6920Z
4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,477,4776,4776Z
4711F,Hypermarchés,5,47,471,4711,4711F
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
8553Z,Enseignement de la conduite,5,85,855,8553,8553Z
4781Z,Commerce de détail alimentaire sur éventaires et marchés,5,47,478,4781,4781Z
4329A,Travaux d'isolation,5,43,432,4329,4329A
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4519Z,Commerce d'autres véhicules automobiles,5,45,451,4519,4519Z
4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z
6920Z,Activités comptables,5,69,692,6920,6920Z
NA,NA,NA,NA,NA,NA,NA
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A
4332A,Travaux de menuiserie bois et PVC,5,43,433,4332,4332A
4321A,Travaux d'installation électrique dans tous locaux,5,43,432,4321,4321A
4743Z,Commerce de détail de matériels audio/vidéo en magasin spécialisé,5,47,474,4743,4743Z
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z
7112B,"Ingénierie, études techniques",5,71,711,7112,7112B
4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z
5610A,Restauration traditionnelle,5,56,561,5610,5610A
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z
1721B,Fabrication de cartonnages,5,17,172,1721,1721B
9001Z,Arts du spectacle vivant,5,90,900,9001,9001Z
9329Z,Autres activités récréatives et de loisirs,5,93,932,9329,9329Z
NA,NA,NA,NA,NA,NA,NA
6820A,Location de logements,5,68,682,6820,6820A
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z
4754Z,Commerce de détail appareils électroménagers (magasin spécialisé),5,47,475,4754,4754Z
5610A,Restauration traditionnelle,5,56,561,5610,5610A
6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z
6920Z,Activités comptables,5,69,692,6920,6920Z
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
5610B,Cafétérias et autres libres-services,5,56,561,5610,5610B
2030Z,"Fabrication de peintures, vernis, encres et mastics",5,20,203,2030,2030Z
4765Z,Commerce de détail de jeux et jouets en magasin spécialisé,5,47,476,4765,4765Z
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B
2630Z,Fabrication d'équipements de communication,5,26,263,2630,2630Z
4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z
4540Z,Commerce et réparation de motocycles,5,45,454,4540,4540Z
5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,5530Z
6910Z,Activités juridiques,5,69,691,6910,6910Z
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
4711D,Supermarchés,5,47,471,4711,4711D
6920Z,Activités comptables,5,69,692,6920,6920Z
5814Z,Édition de revues et périodiques,5,58,581,5814,5814Z
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
1629Z,"Fabrication objets divers en bois, liège, vannerie et sparterie",5,16,162,1629,1629Z
4779Z,Commerce de détail de biens d'occasion en magasin,5,47,477,4779,4779Z
7022Z,Conseil pour les affaires et autres conseils de gestion,5,70,702,7022,7022Z
5811Z,Édition de livres,5,58,581,5811,5811Z
6831Z,Agences immobilières,5,68,683,6831,6831Z
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
3109B,Fabrication autres meubles & industries connexes de l'ameublement,5,31,310,3109,3109B
2660Z,Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.,5,26,266,2660,2660Z
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
7112B,"Ingénierie, études techniques",5,71,711,7112,7112B
5610A,Restauration traditionnelle,5,56,561,5610,5610A
8219Z,Photocopie prépa. documents & aut. activ. spéc. soutien de bureau,5,82,821,8219,8219Z
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
4540Z,Commerce et réparation de motocycles,5,45,454,4540,4540Z
8551Z,Enseignement de disciplines sportives et d'activités de loisirs,5,85,855,8551,8551Z
6920Z,Activités comptables,5,69,692,6920,6920Z
5222Z,Services auxiliaires des transports par eau,5,52,522,5222,5222Z
4711F,Hypermarchés,5,47,471,4711,4711F
0161Z,Activités de soutien aux cultures,5,1,16,161,0161Z
5814Z,Édition de revues et périodiques,5,58,581,5814,5814Z
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,464,4644,4644Z
5229B,Affrètement et organisation des transports,5,52,522,5229,5229B
6831Z,Agences immobilières,5,68,683,6831,6831Z
4711D,Supermarchés,5,47,471,4711,4711D
4941B,Transports routiers de fret de proximité,5,49,494,4941,4941B
1020Z,"Transform. & conserv. poisson, crustacés & mollusques",5,10,102,1020,1020Z
5610C,Restauration de type rapide,5,56,561,5610,5610C
2561Z,Traitement et revêtement des métaux,5,25,256,2561,2561Z
5814Z,Édition de revues et périodiques,5,58,581,5814,5814Z
4391B,Travaux de couverture par éléments,5,43,439,4391,4391B
8730A,Hébergement social pour personnes âgées,5,87,873,8730,8730A
1393Z,Fabrication de tapis et moquettes,5,13,139,1393,1393Z
7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z
6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z
3101Z,Fabrication de meubles de bureau et de magasin,5,31,310,3101,3101Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
2562B,Mécanique industrielle,5,25,256,2562,2562B
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
3315Z,Réparation et maintenance navale,5,33,331,3315,3315Z
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux,5,46,462,4624,4624Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
8559B,Autres enseignements,5,85,855,8559,8559B
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4634Z,Commerce de gros (commerce interentreprises) de boissons,5,46,463,4634,4634Z
4773Z,Commerce de détail produits pharmaceutiques (magasin spécialisé),5,47,477,4773,4773Z
6619A,Supports juridiques de gestion de patrimoine mobilier,5,66,661,6619,6619A
4690Z,Commerce de gros (commerce interentreprises) non spécialisé,5,46,469,4690,4690Z
8230Z,"Organisation de foires, salons professionnels et congrès",5,82,823,8230,8230Z
1107B,Production de boissons rafraîchissantes,5,11,110,1107,1107B
2550B,"Découpage, emboutissage",5,25,255,2550,2550B
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
4616Z,"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir",5,46,461,4616,4616Z
4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,464,4644,4644Z
4649Z,Commerce de gros d'autres biens domestiques,5,46,464,4649,4649Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
3109B,Fabrication autres meubles & industries connexes de l'ameublement,5,31,310,3109,3109B
4941B,Transports routiers de fret de proximité,5,49,494,4941,4941B
4641Z,Commerce de gros (commerce interentreprises) de textiles,5,46,464,4641,4641Z
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
6831Z,Agences immobilières,5,68,683,6831,6831Z
5520Z,Hébergement touristique et autre hébergement de courte durée,5,55,552,5520,5520Z
6910Z,Activités juridiques,5,69,691,6910,6910Z
4941A,Transports routiers de fret interurbains,5,49,494,4941,4941A
4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,467,4673,4673B
1812Z,Autre imprimerie (labeur),5,18,181,1812,1812Z
8553Z,Enseignement de la conduite,5,85,855,8553,8553Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
2562B,Mécanique industrielle,5,25,256,2562,2562B
6920Z,Activités comptables,5,69,692,6920,6920Z
5229B,Affrètement et organisation des transports,5,52,522,5229,5229B
7820Z,Activités des agences de travail temporaire,5,78,782,7820,7820Z
4520A,Entretien et réparation de véhicules automobiles légers,5,45,452,4520,4520A
4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,477,4776,4776Z
4711F,Hypermarchés,5,47,471,4711,4711F
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
8553Z,Enseignement de la conduite,5,85,855,8553,8553Z
4645Z,Commerce de gros de parfumerie et de produits de beauté,5,46,464,4645,4645Z
2511Z,Fabrication de structures métalliques et de parties de structures,5,25,251,2511,2511Z
4322B,Travaux d'installation équipements thermiques et climatisation,5,43,432,4322,4322B
3832Z,Récupération de déchets triés,5,38,383,3832,3832Z
4649Z,Commerce de gros d'autres biens domestiques,5,46,464,4649,4649Z
5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,5530Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
2562B,Mécanique industrielle,5,25,256,2562,2562B
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
4781Z,Commerce de détail alimentaire sur éventaires et marchés,5,47,478,4781,4781Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
1091Z,Fabrication d'aliments pour animaux de ferme,5,10,109,1091,1091Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
4334Z,Travaux de peinture et vitrerie,5,43,433,4334,4334Z
4329A,Travaux d'isolation,5,43,432,4329,4329A
4321A,Travaux d'installation électrique dans tous locaux,5,43,432,4321,4321A
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
2920Z,Fabrication de carrosseries et remorques,5,29,292,2920,2920Z
4519Z,Commerce d'autres véhicules automobiles,5,45,451,4519,4519Z
4754Z,Commerce de détail appareils électroménagers (magasin spécialisé),5,47,475,4754,4754Z
4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z
4711F,Hypermarchés,5,47,471,4711,4711F
6920Z,Activités comptables,5,69,692,6920,6920Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4673A,Commerce de gros de bois et de matériaux de construction,5,46,467,4673,4673A
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
4399A,Travaux d'étanchéification,5,43,439,4399,4399A
6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A
6920Z,Activités comptables,5,69,692,6920,6920Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A
5610A,Restauration traditionnelle,5,56,561,5610,5610A
4332A,Travaux de menuiserie bois et PVC,5,43,433,4332,4332A
1071C,Boulangerie et boulangerie-pâtisserie,5,10,107,1071,1071C
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
4321A,Travaux d'installation électrique dans tous locaux,5,43,432,4321,4321A
1085Z,Fabrication de plats préparés,5,10,108,1085,1085Z
2221Z,"Fabrication plaques, feuilles, tubes et profilés en plastique",5,22,222,2221,2221Z
4540Z,Commerce et réparation de motocycles,5,45,454,4540,4540Z
4759B,Commerce de détail d'autres équipements du foyer,5,47,475,4759,4759B
4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,5,46,466,4661,4661Z
4743Z,Commerce de détail de matériels audio/vidéo en magasin spécialisé,5,47,474,4743,4743Z
6831Z,Agences immobilières,5,68,683,6831,6831Z
6619A,Supports juridiques de gestion de patrimoine mobilier,5,66,661,6619,6619A
4520A,Entretien et réparation de véhicules automobiles légers,5,45,452,4520,4520A
6622Z,Activités des agents et courtiers d'assurances,5,66,662,6622,6622Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4730Z,Commerce de détail de carburants en magasin spécialisé,5,47,473,4730,4730Z
2562B,Mécanique industrielle,5,25,256,2562,2562B
2363Z,Fabrication de béton prêt à l'emploi,5,23,236,2363,2363Z
4674A,Commerce de gros (commerce interentreprises) de quincaillerie,5,46,467,4674,4674A
6831Z,Agences immobilières,5,68,683,6831,6831Z
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
4669A,Commerce de gros de matériel électrique,5,46,466,4669,4669A
6820A,Location de logements,5,68,682,6820,6820A
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4110D,Supports juridiques de programmes,5,41,411,4110,4110D
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4331Z,Travaux de plâtrerie,5,43,433,4331,4331Z
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
2313Z,Fabrication de verre creux,5,23,231,2313,2313Z
5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,5530Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux,5,46,462,4624,4624Z
5224A,Manutention portuaire,5,52,522,5224,5224A
8230Z,"Organisation de foires, salons professionnels et congrès",5,82,823,8230,8230Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
9311Z,Gestion d'installations sportives,5,93,931,9311,9311Z
8559B,Autres enseignements,5,85,855,8559,8559B
4777Z,Comm. détail d'articles horlogerie & bijouterie (magas. spéc.),5,47,477,4777,4777Z
5610C,Restauration de type rapide,5,56,561,5610,5610C
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4673A,Commerce de gros de bois et de matériaux de construction,5,46,467,4673,4673A
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4634Z,Commerce de gros (commerce interentreprises) de boissons,5,46,463,4634,4634Z
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4773Z,Commerce de détail produits pharmaceutiques (magasin spécialisé),5,47,477,4773,4773Z
4773Z,Commerce de détail produits pharmaceutiques (magasin spécialisé),5,47,477,4773,4773Z
6619A,Supports juridiques de gestion de patrimoine mobilier,5,66,661,6619,6619A
4690Z,Commerce de gros (commerce interentreprises) non spécialisé,5,46,469,4690,4690Z
2041Z,"Fabrication de savons, détergents et produits d'entretien",5,20,204,2041,2041Z
8230Z,"Organisation de foires, salons professionnels et congrès",5,82,823,8230,8230Z
6622Z,Activités des agents et courtiers d'assurances,5,66,662,6622,6622Z
5520Z,Hébergement touristique et autre hébergement de courte durée,5,55,552,5520,5520Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4520A,Entretien et réparation de véhicules automobiles légers,5,45,452,4520,4520A
1107B,Production de boissons rafraîchissantes,5,11,110,1107,1107B
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
4616Z,"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir",5,46,461,4616,4616Z
2341Z,"Fabrication d'articles céramiques à usage domestique, ornemental",5,23,234,2341,2341Z
5224A,Manutention portuaire,5,52,522,5224,5224A
1102A,Fabrication de vins effervescents,5,11,110,1102,1102A
2830Z,Fabrication de machines agricoles et forestières,5,28,283,2830,2830Z
4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,464,4644,4644Z
