siren,denomination,postal_code,town,ape
5980016,SOCIETE NAZAIRIENNE DE MECANIQUE,44550,MONTOIR-DE-BRETAGNE,2562B
36820348,RIO FRANCE,06160,JUAN-LES-PINS,4764Z
58807413,SARL O MONACO,13001,MARSEILLE (1ER),6820B
64802101,SOMATRAP - SOCIETE DE MATERIEL INDUSTRIEL DE TRAVAUX PUBLICS,30100,ALES,4663Z
85581494,LAITERIE DE SAINT DENIS DE L'HOTEL,45550,SAINT DENIS DE L'HOTEL,1107B
86080702,S.A.S. MEUBLES SICOT,45160,OLIVET,4759A
300817087,AGENCE BOURGOGNE PUISAYE,89130,TOUCY,6831Z
301420469,TEXDECOR,59780,WILLEMS,4673B
302137435,SAGECO,33501,LIBOURNE,6920Z
302454350,BOUQUET'S MONTPARNASSE,75006,PARIS,4776Z
302517917,SOCIETE DE DISTRIBUTION DU NORD VENDEE,85600,MONTAIGU,4711F
302565049,COMPAGNIE D'INVESTISSEMENTS INDUSTRIELS ET COMMERCIAUX - C I,95310,SAINT OUEN L'AUMONE,6420Z
302640453,AR-MEN FORMATION,94130,NOGENT SUR MARNE,8553Z
304557861,POISSONNERIE MAUGER,28400,NOGENT-LE-ROTROU,4781Z
305118945,DELAUNAY SAS,60134,VILLERS-SAINT-SEPULCRE,4329A
305306177,BERDAL TOURISTIQUE,97232,LE,5510Z
305663296,BROUSSE LOISIRS,80000,AMIENS,4519Z
305821225,DIFAC,67960,ENTZHEIM,4642Z
306138868,FIT EXPERTISE,30000,NIMES,6920Z
307047910,NA,NA,NA,NA
308338383,S.I.B.,95310,ST OUEN L AUMONE,6820B
308800556,SOCIETE IMMOBILIERE ET MOBILIERE ANREP SIMA,16120,BONNEUIL,6832A
309172518,SOPOMEST,67118,GEISPOLSHEIM,4332A
309382661,SAUVAGET ELECTRICITE,44860,SAINT-AIGNAN DE GRAND LIEU,4321A
309989705,CENTRE TECHNIQUE AUDIO,75015,PARIS,4743Z
311059034,KIM AND KIM,75006,PARIS,4771Z
311349500,BHARMAL EXPORT,92110,CLICHY LA GARENNE,4531Z
312197130,PIZZA PAI INTERNATIONAL,59650,VILLENEUVE-D ASCQ,7010Z
313549891,SOCIETE PEINTURE ET ETUDES ARCHITECTURALES,95880,ENGHIEN LES BAINS,7112B
313671109,LIBRAIRIE GAIA,83200,TOULON,4761Z
314239021,BAR PIZZERIA DE L EUROPE,76200,DIEPPE,5610A
314419466,MY LINH,17000,LA ROCHELLE,6420Z
314889544,EVOLIS,59230,SARS-ET-ROSIERES,7010Z
314974585,ARTISTA SOCIETE D'EXPLOITATION,75005,PARIS,1721B
315250878,SOCIETE NOUVELLE ARTISTIC VOLTAIRE,75011,PARIS,9001Z
316190172,SOCIETE MARSEILLAISE D'EXPLOITATION ET DE COURTAGE,13420,GEMENOS,9329Z
316916790,NA,NA,NA,NA
317409423,HUTHICO,86000,POITIERS,6820A
317782571,PROMOTION DU MEUBLE,44210,PORNIC,4759A
318843240,SAE IMMOBILIER NORD - PICARDIE - NORMANDIE - CHAMPAGNE,60200,COMPIEGNE,6810Z
318908621,ETABLISSEMENTS G. ABRAHAM,06220,VALLAURIS,4754Z
319427126,KIM'S,75006,PARIS,5610A
319528444,MAG DIFFUSION,75008,PARIS,6810Z
319567426,INSTITUT D EXPERTISE COMPTABLE D ETUDES ECONOMIQUES ET FINAN,91390,MORSANG SUR ORGE,6920Z
319673281,AGESTRA,06600,ANTIBES,6311Z
319773172,BOB GERARD,75006,PARIS,4771Z
320378144,SNC FONCIFLU,59650,VILLENEUVE-D ASCQ,6820B
320772510,FLUNCH,59650,VILLENEUVE-D ASCQ,5610B
321111999,SOFEC,30150,ROQUEMAURE,2030Z
322131830,S.A.R.L. REPLICAR,44000,NANTES,4765Z
322202250,ALTICOOP,06100,NICE,4764Z
322366600,FONCIPAI,59650,VILLENEUVE-D ASCQ,6820B
322566092,TRITRADE,75008,PARIS,4669B
322983420,OVERLINE SYSTEMS,33510,ANDERNOS LES BAINS,2630Z
323790949,LE PETIT POUSSIN SARL FRANCE,92130,ISSY LES MOULINEAUX,4642Z
324081439,PARIS SCOOTER ACCESSOIRES,75017,PARIS,4540Z
325114064,ESCALE DU PERTHUIS,85360,LA TRANCHE SUR MER,5530Z
325528057,ADH - SAINT CIRE,75005,PARIS,6910Z
325931970,NA,NA,NA,NA
325932093,NA,NA,NA,NA
326332483,DUMEL,76220,GOURNAY-EN-BRAY,4711D
326638061,APSIS AUDIT,75016,PARIS,6920Z
326715893,LES EDITIONS DE VERNEUIL,75009,PARIS,5814Z
326716040,VOGUE MODE,75008,PARIS,4764Z
326717543,BOISSELLERIE HOLLARD,88530,LE THOLY,1629Z
326765914,RECIPROQUE NICOLE MOREL,75016,PARIS,4779Z
326923414,PROSOCIAL,94300,VINCENNES,7022Z
326979770,CARISCRIPT,75004,PARIS,5811Z
327796124,RESIMMO,75008,PARIS,6831Z
327822482,GESTION INFORMATIQUE ET ORGANISATION DES ENTREPRISES,06600,ANTIBES,6311Z
327893228,SOCIETE BELMONTAISE DE MEUBLES,12370,BELMONT-SUR-RANCE,3109B
327977153,TECHNOLOGIE & DEVELOPPEMENT,77700,SERRIS,2660Z
328170337,GARAGE H. CHAPALAIN,22500,KERFOT,4511Z
328223615,LIGHT CIBLES,75011,PARIS,7112B
328263371,MONTROSIER,92200,NEUILLY SUR SEINE,5610A
328398862,INFO-ROUTAGE,87000,LIMOGES,8219Z
328612197,SOCIETE INFORMATIQUE LIBOURNAISE SIL,33501,LIBOURNE,6311Z
328986849,ARIETE PRODUCTION,30100,ALES,4540Z
329025365,PASTEL BODY PERFORMANCE,77330,OZOIR-LA-FERRI,8551Z
329922785,FIDECO FIDUCIAIRE D'ETUDE ET DE COMPTABILITE,06140,VENCE,6920Z
330430646,INTERNATIONAL YACHT CLUB D ANTIBES,06600,ANTIBES,5222Z
330598202,HERBIDIS,85505,LES HERBIERS CEDEX,4711F
330714569,SIRE DRAINAGE,86370,VIVONNE,0161Z
331456012,2BR,75005,PARIS,5814Z
331476671,MB YACHTING,13009,MARSEILLE,4764Z
331662916,SOCIETE D.D.M.,75011,PARIS,4644Z
331832675,INTERNATIONAL CHARTERING SYSTEMS S.A,75017,PARIS,5229B
332626860,LA MAISON DE L'IMMOBILIER,30100,ALES,6831Z
333072833,LYNEL'DO,44480,DONGES,4711D
333306801,ABEILLE RUSH,59350,SAINT-ANDRE-LEZ-LILLE,4941B
333385037,PROMAREE SURGEL,85300,SALLERTAINE,1020Z
333634160,SOGOOD,59650,VILLENEUVE-D ASCQ,5610C
333821528,ENTREPRISE DE MECANIQUE GENERALE ET DE PEINTURE DITE E M G E,28110,LUCE,2561Z
334203999,GROUPEMENT INTERSERVICE ET CONSEIL EN EDITION ET EN PUBLICIT,75008,PARIS,5814Z
334501335,ETABLISSEMENTS BELAUD-PRESTIGE,16160,GOND PONTOUVRE,4391B
334515038,S.A.S. CHATEAUVIEUX,01160,NEUVILLE SUR AIN,8730A
334766599,AN'NOL FRANCE,75008,PARIS,1393Z
335039145,LES BRASSEURS,59650,VILLENEUVE-D ASCQ,7010Z
338029994,MARINA INTERNATIONAL PROJECTS,06270,VILLENEUVE-LOUBET,6810Z
338224629,STAL INDUSTRIE,41200,ROMORANTIN-LANTHENAY,3101Z
5720651,RENE DUFOUR,69002,LYON,6820B
5980016,SOCIETE NAZAIRIENNE DE MECANIQUE,44550,MONTOIR-DE-BRETAGNE,2562B
35720036,CAMP DU LOUBET,06270,VILLENEUVE-LOUBET,6311Z
36820348,RIO FRANCE,06160,JUAN-LES-PINS,4764Z
36920643,AZUREENNE DE FOURNITURES POUR L'AUTOMOBILE LA MARINE L'INDUS,06800,CAGNES SUR MER,4531Z
37220852,BIOT SERVICES PLAISANCE,06410,BIOT,3315Z
55806673,LA BASTIDE,13011,MARSEILLE,8610Z
55808034,COMPTOIR PHOCEEN DU CUIR,13001,MARSEILLE,4624Z
57801342,SOCIETE DES PRODUITS BONHOME ANCIENS ETABLISSEMENTS CASTIE E,13314,MARSEILLE CEDEX 15,6820B
57815839,ECOLE SUPERIEURE DE COMMERCE DE MARSEILLE,13006,MARSEILLE (6E),8559B
58807413,SARL O MONACO,13001,MARSEILLE (1ER),6820B
62802186,MARGNAT S.A.S,13008,MARSEILLE,4634Z
66309808,PHARMACIE DU CENTRE,97600,MAMOUDZOU,4773Z
66801655,ETS P PAPAZIAN ET FILS,13014,MARSEILLE (14E),6619A
67800946,KELLY,13821,LA PENNE SUR HUVEAUNE,4690Z
70805320,WORLD TRADE CENTER MARSEILLE PROVENCE,13241,MARSEILLE CEDEX 01,8230Z
85581494,LAITERIE DE SAINT DENIS DE L'HOTEL,45550,SAINT DENIS DE L'HOTEL,1107B
85780971,GUILLOT - PELLETIER,45140,SAINT-JEAN-DE-LA-RUELLE,2550B
86080702,S.A.S. MEUBLES SICOT,45160,OLIVET,4759A
87280954,S.O.R.E.P.A.R.,94130,NOGENT SUR MARNE,4616Z
300068640,VEROPAM,93600,AULNAY SOUS BOIS,4644Z
300094794,TAP BALL 2000,94270,LE KREMLIN BICETRE,4649Z
300153608,SECOV LE BEAUSSET,83330,LE BEAUSSET,6820B
300218468,DECOTEC,75011,PARIS,3109B
300218815,TRANSPORTS GILLES VALOT,94430,CHENNEVIERES SUR MARNE,4941B
300426046,SDE,67100,STRASBOURG,4641Z
300609104,GUY ROBIC,94320,THIAIS,4771Z
300644838,ETS DEWAS - ITALIQUES,59260,HELLEMMES LILLE,4761Z
300747391,SARL J M,92220,BAGNEUX,4759A
300817087,AGENCE BOURGOGNE PUISAYE,89130,TOUCY,6831Z
301171013,CERVIONE VACANCES LE CAMPOLORO,20221,CERVIONE,5520Z
301222378,CAPRI,75008,PARIS,6910Z
301340873,TRANSPORTS ETABLISSEMENTS TARTARIN T.E.T.,86310,SAINT-GERMAIN,4941A
301420469,TEXDECOR,59780,WILLEMS,4673B
301460861,IMPRIMERIE LOINTIER SA,93700,DRANCY,1812Z
301546230,STARTER,67550,VENDENHEIM,8553Z
302020177,SOCHADIS,85120,LA CHATAIGNERAIE,6820B
302021357,ETS BROUET-LEONARD,08800,LES HAUTES RIVIERES,2562B
302137435,SAGECO,33501,LIBOURNE,6920Z
302304373,GEFCO FORWARDING FRANCE,95700,ROISSY EN FRANCE,5229B
302387261,GEM FRANCE,75009,PARIS,7820Z
302395496,CARROSSERIE DE GREZAN,30000,NIMES,4520A
302454350,BOUQUET'S MONTPARNASSE,75006,PARIS,4776Z
302517917,SOCIETE DE DISTRIBUTION DU NORD VENDEE,85600,MONTAIGU,4711F
302565049,COMPAGNIE D'INVESTISSEMENTS INDUSTRIELS ET COMMERCIAUX - C I,95310,SAINT OUEN L'AUMONE,6420Z
302640453,AR-MEN FORMATION,94130,NOGENT SUR MARNE,8553Z
303159909,SOCIETE DE DISTRIBUTION DE LA MARTINIQUE,97232,LE LAMENTIN,4645Z
303218291,ATELIERS DE CONSTRUCTIONS METALLIQUES CHAMPENOIS,02400,BRASLES,2511Z
303291645,CONTROLFIX,94380,BONNEUIL-SUR-MARNE,4322B
303301691,CENTRE PARISIEN DE RECYCLAGE,91420,MORANGIS,3832Z
303322408,CREATIONS ET TECHNIQUES NOUVELLES,94310,ORLY,4649Z
303679815,CAMPING BEAU RIVAGE,30350,CARDET,5530Z
304292451,SOCFI,78140,VELIZY VILLACOUBLAY,6820B
304351778,ETABLISSEMENTS CLAUDE BOSSUT,28500,GARANCIERES EN DROUAIS,2562B
304429772,NA,NA,NA,NA
304486897,NA,NA,NA,NA
304489511,NA,NA,NA,NA
304557861,POISSONNERIE MAUGER,28400,NOGENT-LE-ROTROU,4781Z
304604101,B.M.P COLNEM,30132,CAISSARGUES,6820B
304803851,VETALIS,16100,CH,1091Z
304851595,RONT GESTION ET DEVELOPPEMENT,94130,NOGENT SUR MARNE,6420Z
304915119,MIROITERIE SIMON,13200,ARLES,4334Z
305118945,DELAUNAY SAS,60134,VILLERS-SAINT-SEPULCRE,4329A
305304479,SOCIETE PICARD,94200,IVRY SUR SEINE,4321A
305306177,BERDAL TOURISTIQUE,97232,LE,5510Z
305365462,BENNES SEMPERE,66000,PERPIGNAN,2920Z
305663296,BROUSSE LOISIRS,80000,AMIENS,4519Z
305810624,CLINIQUE MENAGER,83160,LA VALETTE-DU-VAR,4754Z
305821225,DIFAC,67960,ENTZHEIM,4642Z
306092669,SOCIETE DE MAGASINS VILLEFRANCHOIS,12200,VILLEFRANCHE DE ROUERGUE,4711F
306138868,FIT EXPERTISE,30000,NIMES,6920Z
306461666,DOULY,06400,CANNES,5510Z
306461716,ACCESSOIRES SANITAIRES 2000,06000,NICE,4673A
306733775,NA,NA,NA,NA
307033969,NA,NA,NA,NA
307047910,NA,NA,NA,NA
307132001,NA,NA,NA,NA
307165993,NA,NA,NA,NA
307277129,WALLERICH,57740,LONGEVILLE-L,4764Z
307330902,SORECOB,94400,VITRY-SUR-SEINE,4399A
307772269,CABINET LAUGIER-FINE,13006,MARSEILLE,6832A
308093269,C 2 A EXPERTISE CONSEILS AUDITEURS & ASSOCIES,34500,B,6920Z
308338383,S.I.B.,95310,ST OUEN L AUMONE,6820B
308800556,SOCIETE IMMOBILIERE ET MOBILIERE ANREP SIMA,16120,BONNEUIL,6832A
309095396,AU RENDEZ VOUS DES CHAUFFEURS,75008,PARIS,5610A
309172518,SOPOMEST,67118,GEISPOLSHEIM,4332A
309318566,SOCIETE D EXPLOITATION DE LA BOULANGERIE CAUMES,34700,LOD,1071C
309344729,GROUPE MOINE,69530,BRIGNAIS,6420Z
309382661,SAUVAGET ELECTRICITE,44860,SAINT-AIGNAN DE GRAND LIEU,4321A
309467397,ORIENTAL KITCHEN,94600,CHOISY LE ROI,1085Z
309494953,WIRQUIN PLASTIQUES,44470,CARQUEFOU,2221Z
309693612,ALPHA KARTING,30100,ALES,4540Z
309931830,ESPACE LUMIERE,75008,PARIS,4759B
309932580,MOULINJEUNE EQUIPEMENTS,87220,FEYTIAT,4661Z
309989705,CENTRE TECHNIQUE AUDIO,75015,PARIS,4743Z
310290663,IMMOBILIERE DE LA CITE,83310,GRIMAUD,6831Z
310455928,DEGIVRY,38400,SAINT-MARTIN-D'HERES,6619A
310517693,SOCIETE D EXPLOITATION DES ETABLISSEMENTS HUET,91220,LE PLESSIS PATE,4520A
310530068,COFIFO,75009,PARIS,6622Z
310552617,KDV IMMO,80110,BERTEAUCOURT-LES-THENNES,6820B
5720651,RENE DUFOUR,69002,LYON,6820B
5750583,"SERVICES , ASSISTANCE, ET TRANSACTIONS AUTOMOBILES",04400,BARCELONNETTE,4730Z
5980016,SOCIETE NAZAIRIENNE DE MECANIQUE,44550,MONTOIR-DE-BRETAGNE,2562B
6280309,COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISI,44480,DONGES,2363Z
7050123,STE DES ETABLISSEMENTS GUIGUES,04000,DIGNE-LES-BAINS,4674A
17150947,FAGOT IMMOBILIER EN ABREGE : FAGIM,25370,LES HOPITAUX NEUFS,6831Z
24066193,SMCI GROUPE CAILLE,97600,MAMOUDZOU,4511Z
25880626,S.E.I.A. REDIEN ET FILS,79000,NIORT,4669A
35620079,SOCIETE MEDITERRANEENNE DE PARTICIPATIONS,06600,ANTIBES,6820A
35621226,HOTEL JOSSE,06600,ANTIBES,5510Z
35720036,CAMP DU LOUBET,06270,VILLENEUVE-LOUBET,6311Z
35720523,GROUPE SAINT JEAN,06800,CAGNES-SUR-MER,6420Z
35721810,L HOTEL SAINTE VALERIE,06160,JUAN-LES-PINS,5510Z
36020212,IMMOBILIERE DU CINEMA ANTIPOLIS,06600,ANTIBES,4110D
36220150,MONTSINERY,06600,ANTIBES,8610Z
36520815,ENTREPRISE DENIE LA STAFFERIE,06480,LA COLLE-SUR-LOUP,4331Z
36820348,RIO FRANCE,06160,JUAN-LES-PINS,4764Z
36920643,AZUREENNE DE FOURNITURES POUR L'AUTOMOBILE LA MARINE L'INDUS,06800,CAGNES SUR MER,4531Z
37120284,LA VERRERIE DE BIOT,06410,BIOT,2313Z
37120680,CAMPING MAGALI,06700,SAINT-LAURENT-DU-VAR,5530Z
37150182,RAVOYARD HOLDING,39380,VAUDREY,6420Z
37221447,KRYS OPTIQUE,06600,ANTIBES,6820B
54801824,SOCIETE MARITIME ET INDUSTRIELLE,13008,MARSEILLE,4669B
55806673,LA BASTIDE,13011,MARSEILLE,8610Z
55808034,COMPTOIR PHOCEEN DU CUIR,13001,MARSEILLE,4624Z
55809404,INTRAMAR SA,13315,MARSEILLE CEDEX 15,5224A
56802499,SA FOIRE INTERNATIONALE DE MARSEILLE,13008,MARSEILLE,8230Z
57801342,SOCIETE DES PRODUITS BONHOME ANCIENS ETABLISSEMENTS CASTIE E,13314,MARSEILLE CEDEX 15,6820B
57809162,STE MARSEILLAISE DE LOCATION DE COURTS DE TENNIS,13008,MARSEILLE,9311Z
57815839,ECOLE SUPERIEURE DE COMMERCE DE MARSEILLE,13006,MARSEILLE (6E),8559B
57817264,FROJO SA,13006,MARSEILLE,4777Z
58803396,COMPTOIR MARSEILLAIS D'ALIMENTATION,13006,MARSEILLE,5610C
58807413,SARL O MONACO,13001,MARSEILLE (1ER),6820B
60801099,ETS ROGER TONETTI,13600,LA CIOTAT,4673A
61804225,SOCIETE CASABIANCA,13008,MARSEILLE,6820B
62802186,MARGNAT S.A.S,13008,MARSEILLE,4634Z
63803654,PROVENCALE D INVESTISSEMENTS,13854,AIX-EN-PROVENCE CEDEX 3,8610Z
66304148,SELAS DES YLANGS,97600,MAMOUDZOU,4773Z
66309808,PHARMACIE DU CENTRE,97600,MAMOUDZOU,4773Z
66801655,ETS P PAPAZIAN ET FILS,13014,MARSEILLE (14E),6619A
67800946,KELLY,13821,LA PENNE SUR HUVEAUNE,4690Z
67802660,RECHERCHE ET TRAITEMENTS,13100,AIX-EN-PROVENCE,2041Z
70805320,WORLD TRADE CENTER MARSEILLE PROVENCE,13241,MARSEILLE CEDEX 01,8230Z
73800427,GROUPE TECHNIQUE DE COURTAGE D ASSURANCE,13009,MARSEILLE,6622Z
76620194,LE MOTEL DES AMANDIERS,20144,ZONZA,5520Z
76820521,HMC,75008,PARIS,5510Z
77220085,CARROSSERIE FERRARI,73400,UGINE,4520A
85581494,LAITERIE DE SAINT DENIS DE L'HOTEL,45550,SAINT DENIS DE L'HOTEL,1107B
86020013,PICARD AUTOS 81,81600,GAILLAC,4511Z
86080702,S.A.S. MEUBLES SICOT,45160,OLIVET,4759A
87280954,S.O.R.E.P.A.R.,94130,NOGENT SUR MARNE,4616Z
87320065,POTERIE D ALBI,81000,ALBI,2341Z
94130465,MANU-PORT,97600,MAMOUDZOU,5224A
95550497,CHAMPAGNE F. BONNET P. FILS,51100,REIMS,1102A
97150353,PRECICULTURE,51230,F,2830Z
300068640,VEROPAM,93600,AULNAY SOUS BOIS,4644Z
300094190,LES MEUBLES DU VIEUX MOULIN,79700,MAUL,4759A
300094794,TAP BALL 2000,94270,LE KREMLIN BICETRE,4649Z
300108636,MECANIQUE AGRICOLE BOURGUE,84140,AVIGNON,4661Z
300153608,SECOV LE BEAUSSET,83330,LE BEAUSSET,6820B
